"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hspb8",2.5402052121607e-29,0.562158091887454,0.417,0.035,3.61445799638346e-25,7,"Hspb8"
"Kdelr3",2.54359720539752e-29,0.873925559338576,0.542,0.069,3.61928446356013e-25,7,"Kdelr3"
"Lrp3",2.57738008830934e-29,0.326960526988043,0.271,0.011,3.66735412765536e-25,7,"Lrp3"
"Emp3.4",2.67614968730141e-29,1.63069625873609,0.896,0.243,3.80789339006118e-25,7,"Emp3"
"Crtap",3.32729512615436e-29,1.23494537013758,0.625,0.099,4.73440823500503e-25,7,"Crtap"
"Lama4.2",3.68410843855634e-29,1.25977073618311,0.729,0.14,5.24211789722182e-25,7,"Lama4"
"Anpep",4.17887297538673e-29,0.776919105712816,0.562,0.073,5.94611835667778e-25,7,"Anpep"
"Gngt2",9.11115474667824e-29,0.394994996827695,0.312,0.017,1.29642620890485e-24,7,"Gngt2"
"B4galt1.2",1.77885737489511e-28,1.22725756022304,0.875,0.247,2.53113615873826e-24,7,"B4galt1"
"Oaf",2.53903364292901e-28,1.13733957181602,0.729,0.146,3.61279097052369e-24,7,"Oaf"
"Dpysl2",2.60553975006707e-28,1.10132978425871,0.708,0.131,3.70742251037043e-24,7,"Dpysl2"
"Ak1",2.83614974897646e-28,0.585275551615492,0.479,0.05,4.03555747781861e-24,7,"Ak1"
